SznWkPlPos,SznPlPos,PlPos,SznLgTrf,LgTrf,Season,Week,Player,Pos,TrfLg,TrfTm,FPts
2026_1_Ja'MarrChase_WR,2026_Ja'MarrChase_WR,Ja'MarrChase_WR,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Ja'Marr Chase,WR,KERFUFFLE,CPC,0
2026_1_NicholasSingleton_RB,2026_NicholasSingleton_RB,NicholasSingleton_RB,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Nicholas Singleton,RB,KERFUFFLE,CPC,0
2026_1_JakeTonges_TE,2026_JakeTonges_TE,JakeTonges_TE,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Jake Tonges,TE,KERFUFFLE,CPC,0
2026_1_DakPrescott_QB,2026_DakPrescott_QB,DakPrescott_QB,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Dak Prescott,QB,KERFUFFLE,CPC,0
2026_1_Texans_DST,2026_Texans_DST,Texans_DST,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Texans,DST,KERFUFFLE,CPC,0
2026_1_ZayFlowers_WR,2026_ZayFlowers_WR,ZayFlowers_WR,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Zay Flowers,WR,KERFUFFLE,DDD,0
2026_1_GenoSmith_QB,2026_GenoSmith_QB,GenoSmith_QB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Geno Smith,QB,KERFUFFLE,DDD,0
2026_1_Ja'KobiLane_WR,2026_Ja'KobiLane_WR,Ja'KobiLane_WR,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Ja'Kobi Lane,WR,KERFUFFLE,DDD,0
2026_1_CamSkattebo_RB,2026_CamSkattebo_RB,CamSkattebo_RB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Cam Skattebo,RB,KERFUFFLE,DDD,0
2026_1_SamLaPortaDeadCap_TE,2026_SamLaPortaDeadCap_TE,SamLaPortaDeadCap_TE,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Sam LaPorta Dead Cap,TE,KERFUFFLE,DDD,0
2026_1_BuckyIrving_RB,2026_BuckyIrving_RB,BuckyIrving_RB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Bucky Irving,RB,KERFUFFLE,DDD,0
2026_1_DeshaunWatsonDeadCap_QB,2026_DeshaunWatsonDeadCap_QB,DeshaunWatsonDeadCap_QB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Deshaun Watson Dead Cap,QB,KERFUFFLE,DDD,0
2026_1_JahmyrGibbs_RB,2026_JahmyrGibbs_RB,JahmyrGibbs_RB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Jahmyr Gibbs,RB,KERFUFFLE,DDD,0
2026_1_KennethGainwell_RB,2026_KennethGainwell_RB,KennethGainwell_RB,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Kenneth Gainwell,RB,KERFUFFLE,DDD,0
2026_1_Seahawks_DST,2026_Seahawks_DST,Seahawks_DST,2026_KERFUFFLE_DDD,KERFUFFLE_DDD,2026.0,1.0,Seahawks,DST,KERFUFFLE,DDD,0
2026_1_AJBrown_WR,2026_AJBrown_WR,AJBrown_WR,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,AJ Brown,WR,KERFUFFLE,PCP,0
2026_1_TreyBenson_RB,2026_TreyBenson_RB,TreyBenson_RB,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Trey Benson,RB,KERFUFFLE,PCP,0
2026_1_TJHockenson_TE,2026_TJHockenson_TE,TJHockenson_TE,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,TJ Hockenson,TE,KERFUFFLE,PCP,0
2026_1_FernandoMendoza_QB,2026_FernandoMendoza_QB,FernandoMendoza_QB,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Fernando Mendoza,QB,KERFUFFLE,PCP,0
2026_1_AshtonJeanty_RB,2026_AshtonJeanty_RB,AshtonJeanty_RB,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Ashton Jeanty,RB,KERFUFFLE,PCP,0
2026_1_GarrettWilson_WR,2026_GarrettWilson_WR,GarrettWilson_WR,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Garrett Wilson,WR,KERFUFFLE,PCP,0
2026_1_ChrisBrazzell_WR,2026_ChrisBrazzell_WR,ChrisBrazzell_WR,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Chris Brazzell,WR,KERFUFFLE,PCP,0
2026_1_KenyonSadiq_TE,2026_KenyonSadiq_TE,KenyonSadiq_TE,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Kenyon Sadiq,TE,KERFUFFLE,PCP,0
2026_1_ChrisBell_WR,2026_ChrisBell_WR,ChrisBell_WR,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Chris Bell,WR,KERFUFFLE,PCP,0
2026_1_Ravens_DST,2026_Ravens_DST,Ravens_DST,2026_KERFUFFLE_PCP,KERFUFFLE_PCP,2026.0,1.0,Ravens,DST,KERFUFFLE,PCP,0
2026_1_JordanAddison_WR,2026_JordanAddison_WR,JordanAddison_WR,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Jordan Addison,WR,KERFUFFLE,PP,0
2026_1_RasheeRice_WR,2026_RasheeRice_WR,RasheeRice_WR,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Rashee Rice,WR,KERFUFFLE,PP,0
2026_1_IsaiahLikely_TE,2026_IsaiahLikely_TE,IsaiahLikely_TE,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Isaiah Likely,TE,KERFUFFLE,PP,0
2026_1_JustinHerbert_QB,2026_JustinHerbert_QB,JustinHerbert_QB,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Justin Herbert,QB,KERFUFFLE,PP,0
2026_1_JaydonBlue_RB,2026_JaydonBlue_RB,JaydonBlue_RB,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Jaydon Blue,RB,KERFUFFLE,PP,0
2026_1_MakaiLemon_WR,2026_MakaiLemon_WR,MakaiLemon_WR,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Makai Lemon,WR,KERFUFFLE,PP,0
2026_1_CourtlandSutton_WR,2026_CourtlandSutton_WR,CourtlandSutton_WR,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Courtland Sutton,WR,KERFUFFLE,PP,0
2026_1_TravisKelce_TE,2026_TravisKelce_TE,TravisKelce_TE,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Travis Kelce,TE,KERFUFFLE,PP,0
2026_1_MarShawnLloyd_RB,2026_MarShawnLloyd_RB,MarShawnLloyd_RB,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,MarShawn Lloyd,RB,KERFUFFLE,PP,0
2026_1_Cowboys_DST,2026_Cowboys_DST,Cowboys_DST,2026_KERFUFFLE_PP,KERFUFFLE_PP,2026.0,1.0,Cowboys,DST,KERFUFFLE,PP,0
2026_1_ChristianMcCaffrey_RB,2026_ChristianMcCaffrey_RB,ChristianMcCaffrey_RB,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Christian McCaffrey,RB,KERFUFFLE,RR,0
2026_1_DavanteAdams_WR,2026_DavanteAdams_WR,DavanteAdams_WR,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Davante Adams,WR,KERFUFFLE,RR,0
2026_1_MichaelPenix_QB,2026_MichaelPenix_QB,MichaelPenix_QB,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Michael Penix,QB,KERFUFFLE,RR,0
2026_1_MichaelCarter_RB,2026_MichaelCarter_RB,MichaelCarter_RB,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Michael Carter,RB,KERFUFFLE,RR,0
2026_1_KylePitts_TE,2026_KylePitts_TE,KylePitts_TE,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Kyle Pitts,TE,KERFUFFLE,RR,0
2026_1_BreeceHall_RB,2026_BreeceHall_RB,BreeceHall_RB,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Breece Hall,RB,KERFUFFLE,RR,0
2026_1_ZachariahBranch_WR,2026_ZachariahBranch_WR,ZachariahBranch_WR,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Zachariah Branch,WR,KERFUFFLE,RR,0
2026_1_OrondeGadsden_TE,2026_OrondeGadsden_TE,OrondeGadsden_TE,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Oronde Gadsden,TE,KERFUFFLE,RR,0
2026_1_WoodyMarks_RB,2026_WoodyMarks_RB,WoodyMarks_RB,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Woody Marks,RB,KERFUFFLE,RR,0
2026_1_Patriots_DST,2026_Patriots_DST,Patriots_DST,2026_KERFUFFLE_RR,KERFUFFLE_RR,2026.0,1.0,Patriots,DST,KERFUFFLE,RR,0
2026_1_JaydenHiggins_WR,2026_JaydenHiggins_WR,JaydenHiggins_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jayden Higgins,WR,TRUFFLE,AFL,0
2026_1_DylanSampson_RB,2026_DylanSampson_RB,DylanSampson_RB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Dylan Sampson,RB,TRUFFLE,AFL,0
2026_1_JeremiyahLove_RB,2026_JeremiyahLove_RB,JeremiyahLove_RB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jeremiyah Love,RB,TRUFFLE,AFL,0
2026_1_JaydenDaniels_QB,2026_JaydenDaniels_QB,JaydenDaniels_QB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jayden Daniels,QB,TRUFFLE,AFL,0
2026_1_BrockBowers_TE,2026_BrockBowers_TE,BrockBowers_TE,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Brock Bowers,TE,TRUFFLE,AFL,0
2026_1_EmekaEgbuka_WR,2026_EmekaEgbuka_WR,EmekaEgbuka_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Emeka Egbuka,WR,TRUFFLE,AFL,0
2026_1_AdonaiMitchell_WR,2026_AdonaiMitchell_WR,AdonaiMitchell_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Adonai Mitchell,WR,TRUFFLE,AFL,0
2026_1_QuentinJohnston_WR,2026_QuentinJohnston_WR,QuentinJohnston_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Quentin Johnston,WR,TRUFFLE,AFL,0
2026_1_GermieBernard_WR,2026_GermieBernard_WR,GermieBernard_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Germie Bernard,WR,TRUFFLE,AFL,0
2026_1_Bears_DST,2026_Bears_DST,Bears_DST,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Bears,DST,TRUFFLE,AFL,0
2026_1_TravisKelce_TE,2026_TravisKelce_TE,TravisKelce_TE,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Travis Kelce,TE,TRUFFLE,FRR,0
2026_1_DrakeLondon_WR,2026_DrakeLondon_WR,DrakeLondon_WR,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Drake London,WR,TRUFFLE,FRR,0
2026_1_JordanMason_RB,2026_JordanMason_RB,JordanMason_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Jordan Mason,RB,TRUFFLE,FRR,0
2026_1_BlakeCorum_RB,2026_BlakeCorum_RB,BlakeCorum_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Blake Corum,RB,TRUFFLE,FRR,0
2026_1_ChristianMcCaffrey_RB,2026_ChristianMcCaffrey_RB,ChristianMcCaffrey_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Christian McCaffrey,RB,TRUFFLE,FRR,0
2026_1_TySimpson_QB,2026_TySimpson_QB,TySimpson_QB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Ty Simpson,QB,TRUFFLE,FRR,0
2026_1_Ja'MarrChase_WR,2026_Ja'MarrChase_WR,Ja'MarrChase_WR,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Ja'Marr Chase,WR,TRUFFLE,FRR,0
2026_1_NicholasSingleton_RB,2026_NicholasSingleton_RB,NicholasSingleton_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Nicholas Singleton,RB,TRUFFLE,FRR,0
2026_1_D'AndreSwift_RB,2026_D'AndreSwift_RB,D'AndreSwift_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,D'Andre Swift,RB,TRUFFLE,FRR,0
2026_1_Texans_DST,2026_Texans_DST,Texans_DST,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Texans,DST,TRUFFLE,FRR,0
2026_1_GarrettWilson_WR,2026_GarrettWilson_WR,GarrettWilson_WR,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Garrett Wilson,WR,TRUFFLE,MAM,0
2026_1_CalebWilliams_QB,2026_CalebWilliams_QB,CalebWilliams_QB,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Caleb Williams,QB,TRUFFLE,MAM,0
2026_1_JerryJeudy_WR,2026_JerryJeudy_WR,JerryJeudy_WR,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Jerry Jeudy,WR,TRUFFLE,MAM,0
2026_1_DariusSlayton_WR,2026_DariusSlayton_WR,DariusSlayton_WR,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Darius Slayton,WR,TRUFFLE,MAM,0
2026_1_BrandonAiyukDeadCap_WR,2026_BrandonAiyukDeadCap_WR,BrandonAiyukDeadCap_WR,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Brandon Aiyuk Dead Cap,WR,TRUFFLE,MAM,0
2026_1_EmmettJohnson_RB,2026_EmmettJohnson_RB,EmmettJohnson_RB,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Emmett Johnson,RB,TRUFFLE,MAM,0
2026_1_ColbyParkinson_TE,2026_ColbyParkinson_TE,ColbyParkinson_TE,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Colby Parkinson,TE,TRUFFLE,MAM,0
2026_1_KCConcepcion_WR,2026_KCConcepcion_WR,KCConcepcion_WR,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,KC Concepcion,WR,TRUFFLE,MAM,0
2026_1_RJHarvey_RB,2026_RJHarvey_RB,RJHarvey_RB,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,RJ Harvey,RB,TRUFFLE,MAM,0
2026_1_Rams_DST,2026_Rams_DST,Rams_DST,2026_TRUFFLE_MAM,TRUFFLE_MAM,2026.0,1.0,Rams,DST,TRUFFLE,MAM,0
2026_1_KimaniVidal_RB,2026_KimaniVidal_RB,KimaniVidal_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Kimani Vidal,RB,TRUFFLE,MCM,0
2026_1_TedHurst_WR,2026_TedHurst_WR,TedHurst_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Ted Hurst,WR,TRUFFLE,MCM,0
2026_1_KyrenWilliams_RB,2026_KyrenWilliams_RB,KyrenWilliams_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Kyren Williams,RB,TRUFFLE,MCM,0
2026_1_IsaiahLikely_TE,2026_IsaiahLikely_TE,IsaiahLikely_TE,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Isaiah Likely,TE,TRUFFLE,MCM,0
2026_1_DanielJones_QB,2026_DanielJones_QB,DanielJones_QB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Daniel Jones,QB,TRUFFLE,MCM,0
2026_1_AdamRandall_RB,2026_AdamRandall_RB,AdamRandall_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Adam Randall,RB,TRUFFLE,MCM,0
2026_1_ColstonLoveland_TE,2026_ColstonLoveland_TE,ColstonLoveland_TE,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Colston Loveland,TE,TRUFFLE,MCM,0
2026_1_ShedeurSanders_QB,2026_ShedeurSanders_QB,ShedeurSanders_QB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Shedeur Sanders,QB,TRUFFLE,MCM,0
2026_1_MakaiLemon_WR,2026_MakaiLemon_WR,MakaiLemon_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Makai Lemon,WR,TRUFFLE,MCM,0
2026_1_Seahawks_DST,2026_Seahawks_DST,Seahawks_DST,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Seahawks,DST,TRUFFLE,MCM,0
2026_1_KyleMonangai_RB,2026_KyleMonangai_RB,KyleMonangai_RB,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Kyle Monangai,RB,TRUFFLE,NN,0
2026_1_JadarianPrice_RB,2026_JadarianPrice_RB,JadarianPrice_RB,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Jadarian Price,RB,TRUFFLE,NN,0
2026_1_TylerShough_QB,2026_TylerShough_QB,TylerShough_QB,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Tyler Shough,QB,TRUFFLE,NN,0
2026_1_MalikNabers_WR,2026_MalikNabers_WR,MalikNabers_WR,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Malik Nabers,WR,TRUFFLE,NN,0
2026_1_XavierWorthy_WR,2026_XavierWorthy_WR,XavierWorthy_WR,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Xavier Worthy,WR,TRUFFLE,NN,0
2026_1_MichaelWilson_WR,2026_MichaelWilson_WR,MichaelWilson_WR,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Michael Wilson,WR,TRUFFLE,NN,0
2026_1_ChrisBell_WR,2026_ChrisBell_WR,ChrisBell_WR,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Chris Bell,WR,TRUFFLE,NN,0
2026_1_ChrisBrazzell_WR,2026_ChrisBrazzell_WR,ChrisBrazzell_WR,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Chris Brazzell,WR,TRUFFLE,NN,0
2026_1_JakeFerguson_TE,2026_JakeFerguson_TE,JakeFerguson_TE,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Jake Ferguson,TE,TRUFFLE,NN,0
2026_1_Vikings_DST,2026_Vikings_DST,Vikings_DST,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Vikings,DST,TRUFFLE,NN,0
2026_1_OmarionHampton_RB,2026_OmarionHampton_RB,OmarionHampton_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Omarion Hampton,RB,TRUFFLE,VD,0
2026_1_CadeKlubnik_QB,2026_CadeKlubnik_QB,CadeKlubnik_QB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Cade Klubnik,QB,TRUFFLE,VD,0
2026_1_JuwanJohnson_TE,2026_JuwanJohnson_TE,JuwanJohnson_TE,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Juwan Johnson,TE,TRUFFLE,VD,0
2026_1_BuckyIrving_RB,2026_BuckyIrving_RB,BuckyIrving_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Bucky Irving,RB,TRUFFLE,VD,0
2026_1_BijanRobinson_RB,2026_BijanRobinson_RB,BijanRobinson_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Bijan Robinson,RB,TRUFFLE,VD,0
2026_1_DrewAllar_QB,2026_DrewAllar_QB,DrewAllar_QB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Drew Allar,QB,TRUFFLE,VD,0
2026_1_EliHeidenreich_RB,2026_EliHeidenreich_RB,EliHeidenreich_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Eli Heidenreich,RB,TRUFFLE,VD,0
2026_1_LaddMcConkey_WR,2026_LaddMcConkey_WR,LaddMcConkey_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Ladd McConkey,WR,TRUFFLE,VD,0
2026_1_JordynTyson_WR,2026_JordynTyson_WR,JordynTyson_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Jordyn Tyson,WR,TRUFFLE,VD,0
2026_1_Packers_DST,2026_Packers_DST,Packers_DST,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Packers,DST,TRUFFLE,VD,0
