Player,NFL,Pos,xFP,ActualPts,xTD,TD,Looks,Diff,In5,EZ
Marquez Callaway,NO,WR,4,7,0.4,1,1,0.6,0,1
Tutu Atwell,LAR,WR,4,0,0.1,0,2,-0.1,0,0
Jalen Tolbert,DAL,WR,4,1,0.1,0,2,-0.1,0,0
Dante Pettis,CHI,WR,3,12,-,-,-,-,-,-
Tylan Wallace,BAL,WR,3,2,-,-,-,-,-,-
KJ Hamler,DEN,WR,3,0,0.1,0,2,-0.1,0,0
Phillip Dorsett,HOU,WR,3,3,0.1,0,2,-0.1,0,0
Kendall Hinton,DEN,WR,3,7,-,-,-,-,-,-
Chris Conley,HOU,WR,3,0,-,-,-,-,-,-
Laviska Shenault,CAR,WR,3,17,-,-,-,-,-,-
Deonte Harris,NO,WR,3,3,-,-,-,-,-,-
Khalil Shakir,BUF,WR,3,0,-,-,-,-,-,-
David Bell,CLE,WR,3,3,-,-,-,-,-,-
Jaelon Darden,TB,WR,2,4,-,-,-,-,-,-
Cody Hollister,TEN,WR,2,3,0.1,0,1,-0.1,0,0
Miles Boykin,PIT,WR,2,0,-,-,-,-,-,-
Skyy Moore,KC,WR,2,2,-,-,-,-,-,-
Josh Gordon,TEN,WR,2,0,-,-,-,-,-,-
Penny Hart,SEA,WR,1,3,-,-,-,-,-,-
Wan'Dale Robinson,NYG,WR,1,2,-,-,-,-,-,-
KaVontae Turpin,DAL,WR,1,0,0.1,0,1,-0.1,0,0
Jeff Smith,NYJ,WR,1,3,-,-,-,-,-,-
Gunner Olszewski,PIT,WR,1,0,-,-,-,-,-,-
Andre Roberts,CAR,WR,0,0,-,-,-,-,-,-
Amari Rodgers,GB,WR,0,0,-,-,-,-,-,-
Ihmir Smith-Marsette,CHI,WR,0,0,-,-,-,-,-,-
Tim Jones,JAC,WR,0,0,-,-,-,-,-,-
James Webb X,ATL,WR,0,0,-,-,-,-,-,-
Frank Darby,MIN,WR,0,0,-,-,-,-,-,-
Jalen Nailor,CIN,WR,0,0,-,-,-,-,-,-
Stanley Morgan,LV,WR,0,0,-,-,-,-,-,-
Tyron Johnson,TB,WR,0,0,-,-,-,-,-,-
Kaylon Geiger,CAR,WR,0,0,-,-,-,-,-,-
Terrace Marshall,LV,WR,0,0,-,-,-,-,-,-
DJ Turner,CAR,WR,0,0,-,-,-,-,-,-
Rashard Higgins,SEA,WR,0,0,-,-,-,-,-,-
Dareke Young,WAS,WR,0,0,-,-,-,-,-,-
Dyami Brown,ATL,WR,0,0,-,-,-,-,-,-
Jared Bernhardt,SF,WR,0,0,-,-,-,-,-,-
Malik Turner,BAL,WR,0,0,-,-,-,-,-,-
Lance McCutcheon,LAR,WR,0,0,-,-,-,-,-,-
Matthew Slater,NE,WR,0,0,-,-,-,-,-,-
Quintez Cephus,DET,WR,0,0,-,-,-,-,-,-
Darius Slayton,NYG,WR,0,0,-,-,-,-,-,-
James Proche,BAL,WR,0,0,-,-,-,-,-,-
Chester Rogers,CLE,WR,0,0,-,-,-,-,-,-
Keke Coutee,IND,WR,0,0,-,-,-,-,-,-
Trent Taylor,CIN,WR,0,0,-,-,-,-,-,-
Britain Covey,PHI,WR,0,0,-,-,-,-,-,-
Mark Andrews,BAL,TE,62,65,2.4,3,32,0.6,0,3
Travis Kelce,KC,TE,57,54,3.4,2,25,-1.4,1,4
Zach Ertz,ARI,TE,52,37,2.7,1,25,-1.7,0,4
Darren Waller,LV,TE,47,34,2.7,1,20,-1.7,0,4
Tyler Higbee,LAR,TE,42,33,1.5,0,24,-1.5,0,2
Pat Freiermuth,PIT,TE,37,31,1.1,1,20,-0.1,0,2
Gerald Everett,LAC,TE,35,32,1.5,1,19,-0.5,0,0
Tyler Conklin,NYJ,TE,34,38,0.6,1,24,0.4,0,1
Kyle Pitts,ATL,TE,33,22,0.7,0,18,-0.7,0,1
David Njoku,CLE,TE,31,32,1.4,1,16,-0.4,0,2
Logan Thomas,WAS,TE,30,23,1.6,1,14,-0.6,0,0
Irv Smith,MIN,TE,28,20,1.1,1,15,-0.1,0,1
Hayden Hurst,CIN,TE,28,19,0.9,0,17,-0.9,0,1
TJ Hockenson,DET,TE,27,24,0.5,1,18,0.5,0,0
Evan Engram,JAC,TE,27,22,1.0,0,16,-1.0,0,1
Juwan Johnson,NO,TE,25,14,0.9,0,13,-0.9,0,2
Robert Tonyan,GB,TE,21,19,0.5,0,14,-0.5,0,0
Dallas Goedert,PHI,TE,21,34,0.2,1,14,0.8,0,0
Cameron Brate,TB,TE,20,14,0.6,0,11,-0.6,0,0
Dalton Schultz,DAL,TE,19,15,0.0,0,13,0.0,0,0
Jonnu Smith,NE,TE,17,13,0.3,0,11,-0.3,0,0
Dawson Knox,BUF,TE,17,16,0.2,0,11,-0.2,0,0
Noah Fant,SEA,TE,16,14,0.2,0,11,-0.2,0,0
Harrison Bryant,CLE,TE,16,11,0.7,0,8,-0.7,0,1
