SznWkPlPos,SznPlPos,PlPos,SznLgTrf,LgTrf,Season,Week,Player,Pos,NFL,TrfLg,TrfTm
2026_1_AntonioWilliams_WR,2026_AntonioWilliams_WR,AntonioWilliams_WR,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Antonio Williams,WR,WAS,TRUFFLE,CRB
2026_1_EliStowers_TE,2026_EliStowers_TE,EliStowers_TE,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Eli Stowers,TE,PHI,TRUFFLE,CRB
2026_1_De'VonAchane_RB,2026_De'VonAchane_RB,De'VonAchane_RB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,De'Von Achane,RB,MIA,TRUFFLE,CRB
2026_1_BoNix_QB,2026_BoNix_QB,BoNix_QB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Bo Nix,QB,DEN,TRUFFLE,CRB
2026_1_LukeMcCaffrey_WR,2026_LukeMcCaffrey_WR,LukeMcCaffrey_WR,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Luke McCaffrey,WR,WAS,TRUFFLE,CRB
2026_1_JoshAllen_QB,2026_JoshAllen_QB,JoshAllen_QB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Josh Allen,QB,BUF,TRUFFLE,CRB
2026_1_KennethGainwell_RB,2026_KennethGainwell_RB,KennethGainwell_RB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Kenneth Gainwell,RB,TB,TRUFFLE,CRB
2026_1_EmanuelWilson_RB,2026_EmanuelWilson_RB,EmanuelWilson_RB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Emanuel Wilson,RB,SEA,TRUFFLE,CRB
2026_1_HunterHenry_TE,2026_HunterHenry_TE,HunterHenry_TE,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Hunter Henry,TE,NE,TRUFFLE,CRB
2026_1_GeorgePickens_WR,2026_GeorgePickens_WR,GeorgePickens_WR,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,George Pickens,WR,DAL,TRUFFLE,CRB
2026_1_OrondeGadsden_TE,2026_OrondeGadsden_TE,OrondeGadsden_TE,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Oronde Gadsden,TE,LAC,TRUFFLE,MWM
2026_1_Ja'KobiLane_WR,2026_Ja'KobiLane_WR,Ja'KobiLane_WR,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Ja'Kobi Lane,WR,BAL,TRUFFLE,MWM
2026_1_RashidShaheed_WR,2026_RashidShaheed_WR,RashidShaheed_WR,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Rashid Shaheed,WR,SEA,TRUFFLE,MWM
2026_1_CooperKupp_WR,2026_CooperKupp_WR,CooperKupp_WR,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Cooper Kupp,WR,SEA,TRUFFLE,MWM
2026_1_DerrickHenry_RB,2026_DerrickHenry_RB,DerrickHenry_RB,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Derrick Henry,RB,BAL,TRUFFLE,MWM
2026_1_CamSkattebo_RB,2026_CamSkattebo_RB,CamSkattebo_RB,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Cam Skattebo,RB,NYG,TRUFFLE,MWM
2026_1_CamWard_QB,2026_CamWard_QB,CamWard_QB,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Cam Ward,QB,TEN,TRUFFLE,MWM
2026_1_JalenHurts_QB,2026_JalenHurts_QB,JalenHurts_QB,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Jalen Hurts,QB,PHI,TRUFFLE,MWM
2026_1_TerryMcLaurin_WR,2026_TerryMcLaurin_WR,TerryMcLaurin_WR,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Terry McLaurin,WR,WAS,TRUFFLE,MWM
2026_1_KaytronAllen_RB,2026_KaytronAllen_RB,KaytronAllen_RB,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Kaytron Allen,RB,WAS,TRUFFLE,MWM
2026_1_TerranceFerguson_TE,2026_TerranceFerguson_TE,TerranceFerguson_TE,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Terrance Ferguson,TE,LAR,TRUFFLE,MWM
2026_1_MarkAndrews_TE,2026_MarkAndrews_TE,MarkAndrews_TE,2026_TRUFFLE_MWM,TRUFFLE_MWM,2026.0,1.0,Mark Andrews,TE,BAL,TRUFFLE,MWM
2026_1_TuaTagovailoa_QB,2026_TuaTagovailoa_QB,TuaTagovailoa_QB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Tua Tagovailoa,QB,ATL,TRUFFLE,FRR
2026_1_TravisKelce_TE,2026_TravisKelce_TE,TravisKelce_TE,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Travis Kelce,TE,KC,TRUFFLE,FRR
2026_1_DrakeLondon_WR,2026_DrakeLondon_WR,DrakeLondon_WR,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Drake London,WR,ATL,TRUFFLE,FRR
2026_1_JordanMason_RB,2026_JordanMason_RB,JordanMason_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Jordan Mason,RB,MIN,TRUFFLE,FRR
2026_1_BlakeCorum_RB,2026_BlakeCorum_RB,BlakeCorum_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Blake Corum,RB,LAR,TRUFFLE,FRR
2026_1_ChristianMcCaffrey_RB,2026_ChristianMcCaffrey_RB,ChristianMcCaffrey_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Christian McCaffrey,RB,SF,TRUFFLE,FRR
2026_1_TySimpson_QB,2026_TySimpson_QB,TySimpson_QB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Ty Simpson,QB,LAR,TRUFFLE,FRR
2026_1_Ja'MarrChase_WR,2026_Ja'MarrChase_WR,Ja'MarrChase_WR,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Ja'Marr Chase,WR,CIN,TRUFFLE,FRR
2026_1_NicholasSingleton_RB,2026_NicholasSingleton_RB,NicholasSingleton_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Nicholas Singleton,RB,TEN,TRUFFLE,FRR
2026_1_D'AndreSwift_RB,2026_D'AndreSwift_RB,D'AndreSwift_RB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,D'Andre Swift,RB,CHI,TRUFFLE,FRR
2026_1_JacobyBrissett_QB,2026_JacobyBrissett_QB,JacobyBrissett_QB,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Jacoby Brissett,QB,ARI,TRUFFLE,FRR
2026_1_Texans_DST,2026_Texans_DST,Texans_DST,2026_TRUFFLE_FRR,TRUFFLE_FRR,2026.0,1.0,Texans,DST,HOU,TRUFFLE,FRR
2026_1_MikeWashington_RB,2026_MikeWashington_RB,MikeWashington_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Mike Washington,RB,LV,TRUFFLE,GF
2026_1_DeeboSamuel_WR,2026_DeeboSamuel_WR,DeeboSamuel_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Deebo Samuel,WR,SF,TRUFFLE,GF
2026_1_AshtonJeanty_RB,2026_AshtonJeanty_RB,AshtonJeanty_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Ashton Jeanty,RB,LV,TRUFFLE,GF
2026_1_TezJohnson_WR,2026_TezJohnson_WR,TezJohnson_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Tez Johnson,WR,TB,TRUFFLE,GF
2026_1_TuckerKraft_TE,2026_TuckerKraft_TE,TuckerKraft_TE,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Tucker Kraft,TE,GB,TRUFFLE,GF
2026_1_DaltonKincaid_TE,2026_DaltonKincaid_TE,DaltonKincaid_TE,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Dalton Kincaid,TE,BUF,TRUFFLE,GF
2026_1_JaylenWarren_RB,2026_JaylenWarren_RB,JaylenWarren_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Jaylen Warren,RB,PIT,TRUFFLE,GF
2026_1_MichaelPenix_QB,2026_MichaelPenix_QB,MichaelPenix_QB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Michael Penix,QB,ATL,TRUFFLE,GF
2026_1_JoshJacobs_RB,2026_JoshJacobs_RB,JoshJacobs_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Josh Jacobs,RB,GB,TRUFFLE,GF
2026_1_RomeoDoubs_WR,2026_RomeoDoubs_WR,RomeoDoubs_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Romeo Doubs,WR,NE,TRUFFLE,GF
2026_1_JordanLove_QB,2026_JordanLove_QB,JordanLove_QB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Jordan Love,QB,GB,TRUFFLE,GF
2026_1_RhamondreStevenson_RB,2026_RhamondreStevenson_RB,RhamondreStevenson_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Rhamondre Stevenson,RB,NE,TRUFFLE,GF
2026_1_HaroldFannin_TE,2026_HaroldFannin_TE,HaroldFannin_TE,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Harold Fannin,TE,CLE,TRUFFLE,GF
2026_1_Wan'DaleRobinson_WR,2026_Wan'DaleRobinson_WR,Wan'DaleRobinson_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Wan'Dale Robinson,WR,TEN,TRUFFLE,GF
2026_1_JaxonSmith-Njigba_WR,2026_JaxonSmith-Njigba_WR,JaxonSmith-Njigba_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Jaxon Smith-Njigba,WR,SEA,TRUFFLE,GF
2026_1_DavanteAdams_WR,2026_DavanteAdams_WR,DavanteAdams_WR,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Davante Adams,WR,LAR,TRUFFLE,GF
2026_1_JonahColeman_RB,2026_JonahColeman_RB,JonahColeman_RB,2026_TRUFFLE_GF,TRUFFLE_GF,2026.0,1.0,Jonah Coleman,RB,DEN,TRUFFLE,GF
2026_1_OmarionHampton_RB,2026_OmarionHampton_RB,OmarionHampton_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Omarion Hampton,RB,LAC,TRUFFLE,VD
2026_1_CadeKlubnik_QB,2026_CadeKlubnik_QB,CadeKlubnik_QB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Cade Klubnik,QB,NYJ,TRUFFLE,VD
2026_1_JuwanJohnson_TE,2026_JuwanJohnson_TE,JuwanJohnson_TE,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Juwan Johnson,TE,NO,TRUFFLE,VD
2026_1_BuckyIrving_RB,2026_BuckyIrving_RB,BuckyIrving_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Bucky Irving,RB,TB,TRUFFLE,VD
2026_1_RomeOdunze_WR,2026_RomeOdunze_WR,RomeOdunze_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Rome Odunze,WR,CHI,TRUFFLE,VD
2026_1_BijanRobinson_RB,2026_BijanRobinson_RB,BijanRobinson_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Bijan Robinson,RB,ATL,TRUFFLE,VD
2026_1_DrewAllar_QB,2026_DrewAllar_QB,DrewAllar_QB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Drew Allar,QB,PIT,TRUFFLE,VD
2026_1_EliHeidenreich_RB,2026_EliHeidenreich_RB,EliHeidenreich_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Eli Heidenreich,RB,PIT,TRUFFLE,VD
2026_1_KeatonMitchell_RB,2026_KeatonMitchell_RB,KeatonMitchell_RB,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Keaton Mitchell,RB,LAC,TRUFFLE,VD
2026_1_JaylinNoel_WR,2026_JaylinNoel_WR,JaylinNoel_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Jaylin Noel,WR,HOU,TRUFFLE,VD
2026_1_LaddMcConkey_WR,2026_LaddMcConkey_WR,LaddMcConkey_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Ladd McConkey,WR,LAC,TRUFFLE,VD
2026_1_JordynTyson_WR,2026_JordynTyson_WR,JordynTyson_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Jordyn Tyson,WR,NO,TRUFFLE,VD
2026_1_MarvinHarrison_WR,2026_MarvinHarrison_WR,MarvinHarrison_WR,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Marvin Harrison,WR,ARI,TRUFFLE,VD
2026_1_Packers_DST,2026_Packers_DST,Packers_DST,2026_TRUFFLE_VD,TRUFFLE_VD,2026.0,1.0,Packers,DST,GB,TRUFFLE,VD
2026_1_JaxsonDart_QB,2026_JaxsonDart_QB,JaxsonDart_QB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Jaxson Dart,QB,NYG,TRUFFLE,ELP
2026_1_JamesonWilliams_WR,2026_JamesonWilliams_WR,JamesonWilliams_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Jameson Williams,WR,DET,TRUFFLE,ELP
2026_1_JalenCoker_WR,2026_JalenCoker_WR,JalenCoker_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Jalen Coker,WR,CAR,TRUFFLE,ELP
2026_1_IsaacTeSlaa_WR,2026_IsaacTeSlaa_WR,IsaacTeSlaa_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Isaac TeSlaa,WR,DET,TRUFFLE,ELP
2026_1_MalikWillis_QB,2026_MalikWillis_QB,MalikWillis_QB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Malik Willis,QB,MIA,TRUFFLE,ELP
2026_1_WoodyMarks_RB,2026_WoodyMarks_RB,WoodyMarks_RB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Woody Marks,RB,HOU,TRUFFLE,ELP
2026_1_KennethWalker_RB,2026_KennethWalker_RB,KennethWalker_RB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Kenneth Walker,RB,KC,TRUFFLE,ELP
2026_1_KaelonBlack_RB,2026_KaelonBlack_RB,KaelonBlack_RB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Kaelon Black,RB,SF,TRUFFLE,ELP
2026_1_PatrickMahomes_QB,2026_PatrickMahomes_QB,PatrickMahomes_QB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Patrick Mahomes,QB,KC,TRUFFLE,ELP
2026_1_CarsonBeck_QB,2026_CarsonBeck_QB,CarsonBeck_QB,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Carson Beck,QB,ARI,TRUFFLE,ELP
2026_1_TylerWarren_TE,2026_TylerWarren_TE,TylerWarren_TE,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Tyler Warren,TE,IND,TRUFFLE,ELP
2026_1_LutherBurden_WR,2026_LutherBurden_WR,LutherBurden_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Luther Burden,WR,CHI,TRUFFLE,ELP
2026_1_MatthewGolden_WR,2026_MatthewGolden_WR,MatthewGolden_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Matthew Golden,WR,GB,TRUFFLE,ELP
2026_1_ChrisOlave_WR,2026_ChrisOlave_WR,ChrisOlave_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Chris Olave,WR,NO,TRUFFLE,ELP
2026_1_CarnellTate_WR,2026_CarnellTate_WR,CarnellTate_WR,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026.0,1.0,Carnell Tate,WR,TEN,TRUFFLE,ELP
2026_1_KimaniVidal_RB,2026_KimaniVidal_RB,KimaniVidal_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Kimani Vidal,RB,LAC,TRUFFLE,MCM
2026_1_TedHurst_WR,2026_TedHurst_WR,TedHurst_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Ted Hurst,WR,TB,TRUFFLE,MCM
2026_1_KyrenWilliams_RB,2026_KyrenWilliams_RB,KyrenWilliams_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Kyren Williams,RB,LAR,TRUFFLE,MCM
2026_1_SkylerBell_WR,2026_SkylerBell_WR,SkylerBell_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Skyler Bell,WR,BUF,TRUFFLE,MCM
2026_1_IsaiahLikely_TE,2026_IsaiahLikely_TE,IsaiahLikely_TE,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Isaiah Likely,TE,NYG,TRUFFLE,MCM
2026_1_DanielJones_QB,2026_DanielJones_QB,DanielJones_QB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Daniel Jones,QB,IND,TRUFFLE,MCM
2026_1_AdamRandall_RB,2026_AdamRandall_RB,AdamRandall_RB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Adam Randall,RB,BAL,TRUFFLE,MCM
2026_1_FernandoMendoza_QB,2026_FernandoMendoza_QB,FernandoMendoza_QB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Fernando Mendoza,QB,LV,TRUFFLE,MCM
2026_1_ColstonLoveland_TE,2026_ColstonLoveland_TE,ColstonLoveland_TE,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Colston Loveland,TE,CHI,TRUFFLE,MCM
2026_1_PukaNacua_WR,2026_PukaNacua_WR,PukaNacua_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Puka Nacua,WR,LAR,TRUFFLE,MCM
2026_1_ShedeurSanders_QB,2026_ShedeurSanders_QB,ShedeurSanders_QB,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Shedeur Sanders,QB,CLE,TRUFFLE,MCM
2026_1_MakaiLemon_WR,2026_MakaiLemon_WR,MakaiLemon_WR,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Makai Lemon,WR,PHI,TRUFFLE,MCM
2026_1_Seahawks_DST,2026_Seahawks_DST,Seahawks_DST,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Seahawks,DST,SEA,TRUFFLE,MCM
2026_1_Browns_DST,2026_Browns_DST,Browns_DST,2026_TRUFFLE_MCM,TRUFFLE_MCM,2026.0,1.0,Browns,DST,CLE,TRUFFLE,MCM
2026_1_OmarCooper_WR,2026_OmarCooper_WR,OmarCooper_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Omar Cooper,WR,NYJ,TRUFFLE,WLW
2026_1_TreTucker_WR,2026_TreTucker_WR,TreTucker_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Tre Tucker,WR,LV,TRUFFLE,WLW
2026_1_TravisHunter_WR,2026_TravisHunter_WR,TravisHunter_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Travis Hunter,WR,JAC,TRUFFLE,WLW
2026_1_De'ZhaunStribling_WR,2026_De'ZhaunStribling_WR,De'ZhaunStribling_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,De'Zhaun Stribling,WR,SF,TRUFFLE,WLW
2026_1_ChaseBrown_RB,2026_ChaseBrown_RB,ChaseBrown_RB,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Chase Brown,RB,CIN,TRUFFLE,WLW
2026_1_CJStroud_QB,2026_CJStroud_QB,CJStroud_QB,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,CJ Stroud,QB,HOU,TRUFFLE,WLW
2026_1_CeeDeeLamb_WR,2026_CeeDeeLamb_WR,CeeDeeLamb_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,CeeDee Lamb,WR,DAL,TRUFFLE,WLW
2026_1_BrentonStrange_TE,2026_BrentonStrange_TE,BrentonStrange_TE,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Brenton Strange,TE,JAC,TRUFFLE,WLW
2026_1_DemondClaiborne_RB,2026_DemondClaiborne_RB,DemondClaiborne_RB,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Demond Claiborne,RB,MIN,TRUFFLE,WLW
2026_1_NicoCollins_WR,2026_NicoCollins_WR,NicoCollins_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Nico Collins,WR,HOU,TRUFFLE,WLW
2026_1_SamLaPorta_TE,2026_SamLaPorta_TE,SamLaPorta_TE,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Sam LaPorta,TE,DET,TRUFFLE,WLW
2026_1_ParkerWashington_WR,2026_ParkerWashington_WR,ParkerWashington_WR,2026_TRUFFLE_WLW,TRUFFLE_WLW,2026.0,1.0,Parker Washington,WR,JAC,TRUFFLE,WLW
2026_1_BrockPurdy_QB,2026_BrockPurdy_QB,BrockPurdy_QB,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Brock Purdy,QB,SF,TRUFFLE,CC
2026_1_ZachariahBranch_WR,2026_ZachariahBranch_WR,ZachariahBranch_WR,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Zachariah Branch,WR,ATL,TRUFFLE,CC
2026_1_BrianThomas_WR,2026_BrianThomas_WR,BrianThomas_WR,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Brian Thomas,WR,JAC,TRUFFLE,CC
2026_1_Amon-RaStBrown_WR,2026_Amon-RaStBrown_WR,Amon-RaStBrown_WR,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Amon-Ra St Brown,WR,DET,TRUFFLE,CC
2026_1_JamesCook_RB,2026_JamesCook_RB,JamesCook_RB,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,James Cook,RB,BUF,TRUFFLE,CC
2026_1_DrakeMaye_QB,2026_DrakeMaye_QB,DrakeMaye_QB,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Drake Maye,QB,NE,TRUFFLE,CC
2026_1_DenzelBoston_WR,2026_DenzelBoston_WR,DenzelBoston_WR,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Denzel Boston,WR,CLE,TRUFFLE,CC
2026_1_KenyonSadiq_TE,2026_KenyonSadiq_TE,KenyonSadiq_TE,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Kenyon Sadiq,TE,NYJ,TRUFFLE,CC
2026_1_TreVeyonHenderson_RB,2026_TreVeyonHenderson_RB,TreVeyonHenderson_RB,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,TreVeyon Henderson,RB,NE,TRUFFLE,CC
2026_1_TreHarris_WR,2026_TreHarris_WR,TreHarris_WR,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Tre Harris,WR,LAC,TRUFFLE,CC
2026_1_RachaadWhite_RB,2026_RachaadWhite_RB,RachaadWhite_RB,2026_TRUFFLE_CC,TRUFFLE_CC,2026.0,1.0,Rachaad White,RB,WAS,TRUFFLE,CC
2026_1_KyleMonangai_RB,2026_KyleMonangai_RB,KyleMonangai_RB,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Kyle Monangai,RB,CHI,TRUFFLE,NN
2026_1_JadarianPrice_RB,2026_JadarianPrice_RB,JadarianPrice_RB,2026_TRUFFLE_NN,TRUFFLE_NN,2026.0,1.0,Jadarian Price,RB,SEA,TRUFFLE,NN
