Player,NFL,Pos,xFP,ActualPts,Looks,TD,xTD,Diff,In5,EZ
Mecole Hardman,KC,WR,23,18,11,1,1.2,-0.2,0,1
Tyler Lockett,SEA,WR,23,26,15,0,0.1,-0.1,0,0
Michael Pittman Jr.,IND,WR,22,27,13,1,0.6,0.4,0,1
Greg Dortch,ARI,WR,22,29,13,1,0.5,0.5,0,1
Jarvis Landry,NO,WR,22,25,14,0,0.3,-0.3,0,0
Donovan Peoples-Jones,CLE,WR,21,12,12,0,0.8,-0.8,0,2
DK Metcalf,SEA,WR,21,16,13,0,0.5,-0.5,0,1
Rashod Bateman,BAL,WR,21,35,12,2,0.4,1.6,0,1
Mike Evans,TB,WR,21,27,11,1,0.7,0.3,0,1
Sterling Shepard,NYG,WR,20,25,14,1,0.2,0.8,0,0
Adam Thielen,MIN,WR,20,16,11,0,0.8,-0.8,0,0
Terry McLaurin,WAS,WR,20,26,12,1,0.5,0.5,0,1
Tee Higgins,CIN,WR,20,24,12,1,0.6,0.4,0,1
A.J. Green,ARI,WR,20,10,11,0,0.9,-0.9,0,1
Elijah Moore,NYJ,WR,20,16,13,0,0.4,-0.4,0,0
Nelson Agholor,NE,WR,19,27,12,1,0.2,0.8,0,0
Treylon Burks,TEN,WR,19,17,11,0,0.4,-0.4,0,1
DJ Moore,CAR,WR,19,21,13,1,0.4,0.6,0,1
Jerry Jeudy,DEN,WR,18,22,11,1,0.7,0.3,0,1
Allen Robinson II,LAR,WR,18,18,7,1,1.2,-0.2,0,3
Nico Collins,HOU,WR,18,14,10,0,0.5,-0.5,0,0
JuJu Smith-Schuster,KC,WR,18,16,12,0,0.1,-0.1,0,0
Robbie Anderson,CAR,WR,17,25,13,1,0.3,0.7,0,0
Breshad Perriman,TB,WR,17,13,9,1,0.7,0.3,0,2
Tyler Boyd,CIN,WR,17,19,9,1,0.5,0.5,0,1
Richie James Jr.,NYG,WR,17,21,12,0,0.1,-0.1,0,0
Mack Hollins,LV,WR,16,14,9,0,0.5,-0.5,0,0
Marvin Jones Jr.,JAC,WR,16,14,11,0,0.1,-0.1,0,0
Marquez Valdes-Scantling,KC,WR,16,11,11,0,0.2,-0.2,0,0
Brandon Aiyuk,SF,WR,15,18,11,0,0.2,-0.2,0,0
Josh Reynolds,DET,WR,14,17,6,1,1.0,0.0,0,2
Kyle Philips,TEN,WR,14,10,10,0,0.1,-0.1,0,0
DeAndre Carter,LAC,WR,14,24,7,1,0.4,0.6,0,1
Romeo Doubs,GB,WR,14,14,9,0,0.3,-0.3,0,0
Ben Skowronek,LAR,WR,14,10,9,0,0.1,-0.1,0,0
Demarcus Robinson,BAL,WR,14,12,6,1,0.8,0.2,0,2
Devin Duvernay,BAL,WR,13,34,6,2,0.6,1.4,0,2
Scotty Miller,TB,WR,13,7,9,0,0.1,-0.1,0,0
DeVonta Smith,PHI,WR,13,15,10,0,0.0,0.0,0,0
Mike Strachan,IND,WR,13,9,5,0,0.8,-0.8,0,2
Equanimeous St. Brown,CHI,WR,12,15,7,1,0.4,0.6,0,1
Christian Watson,GB,WR,12,10,8,0,0.2,-0.2,0,0
Russell Gage,TB,WR,12,11,9,0,0.0,0.0,0,0
Dezmon Patmon,IND,WR,12,4,6,0,0.4,-0.4,0,1
Nick Westbrook-Ikhine,TEN,WR,12,5,7,0,0.4,-0.4,0,0
Isaiah McKenzie,BUF,WR,12,16,6,1,0.5,0.5,0,0
Jauan Jennings,SF,WR,12,12,8,0,0.1,-0.1,0,0
Sammy Watkins,GB,WR,12,17,7,0,0.1,-0.1,0,0
Shi Smith,CAR,WR,12,3,9,0,0.2,-0.2,0,0
K.J. Osborn,MIN,WR,11,9,6,0,0.5,-0.5,0,1
Julio Jones,TB,WR,11,12,7,0,0.3,-0.3,0,0
Chris Moore,HOU,WR,11,10,7,0,0.1,-0.1,0,0
Braxton Berrios,NYJ,WR,10,11,8,0,0.1,-0.1,0,0
Dennis Houston,DAL,WR,10,4,6,0,0.1,-0.1,0,0
Olamide Zaccheaus,ATL,WR,10,17,6,1,0.2,0.8,0,0
Parris Campbell,IND,WR,10,7,6,0,0.2,-0.2,0,0
Randall Cobb,GB,WR,10,10,6,0,0.1,-0.1,0,0
Bryan Edwards,ATL,WR,9,1,3,0,0.7,-0.7,0,1
KhaDarel Hodge,ATL,WR,9,15,6,0,0.1,-0.1,0,0
Allen Lazard,GB,WR,9,9,3,1,0.8,0.2,0,2
Robert Woods,TEN,WR,9,10,6,0,0.0,0.0,0,0
Gabriel Davis,BUF,WR,9,19,5,1,0.2,0.8,0,0
Trent Sherfield,MIA,WR,9,5,4,0,0.5,-0.5,0,0
Ty Montgomery,NE,WR,9,10,6,1,0.4,0.6,0,0
Darnell Mooney,CHI,WR,9,2,4,0,0.3,-0.3,0,0
DeVante Parker,NE,WR,9,2,4,0,0.4,-0.4,0,1
River Cracraft,MIA,WR,8,7,2,1,0.9,0.1,0,2
Cam Sims,WAS,WR,8,0,3,0,0.5,-0.5,0,1
Alec Pierce,IND,WR,8,0,2,0,0.8,-0.8,0,2
George Pickens,PIT,WR,7,5,5,0,0.0,0.0,0,0
Kendrick Bourne,NE,WR,7,9,4,0,0.1,-0.1,0,0
Jamal Agnew,JAC,WR,7,2,5,0,0.2,-0.2,0,1
Kadarius Toney,NYG,WR,6,4,5,0,0.1,-0.1,0,0
Keenan Allen,LAC,WR,6,11,4,0,0.0,0.0,0,0
Justin Watson,KC,WR,6,13,3,1,0.2,0.8,0,0
David Sills V,NYG,WR,6,7,4,0,0.0,0.0,0,0
Cedrick Wilson,MIA,WR,5,5,4,0,0.0,0.0,0,0
Simi Fehoko,DAL,WR,5,3,3,0,0.1,-0.1,0,0
Jake Kumerow,BUF,WR,5,7,3,0,0.1,-0.1,0,0
Anthony Schwartz,CLE,WR,5,5,4,0,0.1,-0.1,0,0
Danny Gray,SF,WR,5,0,2,0,0.3,-0.3,0,0
Byron Pringle,CHI,WR,5,3,2,0,0.3,-0.3,0,1
Ray-Ray McCloud III,SF,WR,5,6,4,0,0.0,0.0,0,0
Chris Godwin,TB,WR,4,7,3,0,0.1,-0.1,0,0
Andy Isabella,ARI,WR,4,2,3,0,0.0,0.0,0,0
Quez Watkins,PHI,WR,4,15,2,1,0.1,0.9,0,0
Marquise Goodwin,SEA,WR,4,4,3,0,0.0,0.0,0,0
Montrell Washington,DEN,WR,4,2,2,0,0.3,-0.3,0,1
Brandon Powell,LAR,WR,4,1,4,0,0.0,0.0,0,0
Zach Pascal,PHI,WR,4,5,3,0,0.0,0.0,0,0
Kalif Raymond,DET,WR,3,0,2,0,0.0,0.0,0,0
Dante Pettis,CHI,WR,3,12,2,1,0.0,1.0,0,0
Tylan Wallace,BAL,WR,3,2,3,0,0.0,0.0,0,0
Dax Milne,WAS,WR,3,2,2,0,0.1,-0.1,0,0
KJ Hamler,DEN,WR,3,0,2,0,0.1,-0.1,0,0
Chris Conley,HOU,WR,3,0,2,0,0.0,0.0,0,0
Jalen Guyton,LAC,WR,2,0,1,0,0.1,-0.1,0,0
Cody Hollister,TEN,WR,2,3,1,0,0.1,-0.1,0,0
Miles Boykin,PIT,WR,2,0,1,0,0.0,0.0,0,0
Skyy Moore,KC,WR,2,4,1,0,0.0,0.0,0,0
KaVontae Turpin,DAL,WR,1,0,1,0,0.1,-0.1,0,0
Mark Andrews,BAL,TE,37,36,19,1,1.4,-0.4,0,2
Tyler Higbee,LAR,TE,36,23,20,0,1.5,-1.5,0,2
Travis Kelce,KC,TE,33,36,16,1,1.5,-0.5,0,1
Zach Ertz,ARI,TE,33,27,15,1,2.0,-1.0,0,3
Darren Waller,LV,TE,31,29,14,1,1.5,-0.5,0,3
Pat Freiermuth,PIT,TE,30,25,16,1,1.0,0.0,0,2
Gerald Everett,LAC,TE,27,28,14,1,1.4,-0.4,0,0
Hayden Hurst,CIN,TE,25,17,15,0,0.9,-0.9,0,1
Juwan Johnson,NO,TE,23,14,12,0,0.9,-0.9,0,2
Tyler Conklin,NYJ,TE,23,22,16,1,0.6,0.4,0,1
Logan Thomas,WAS,TE,21,20,11,1,0.9,0.1,0,0
T.J. Hockenson,DET,TE,20,13,14,0,0.2,-0.2,0,0
Dalton Schultz,DAL,TE,19,15,13,0,0.0,0.0,0,0
Kyle Pitts,ATL,TE,18,8,10,0,0.5,-0.5,0,1
Irv Smith Jr.,MIN,TE,18,15,10,1,0.6,0.4,0,0
Evan Engram,JAC,TE,17,18,12,0,0.0,0.0,0,0
Harrison Bryant,CLE,TE,16,11,8,0,0.7,-0.7,0,1
Dallas Goedert,PHI,TE,15,22,10,0,0.1,-0.1,0,0
Albert Okwuegbunam,DEN,TE,13,8,8,0,0.5,-0.5,0,0
Austin Hooper,TEN,TE,12,5,7,0,0.5,-0.5,0,1
David Njoku,CLE,TE,12,8,6,0,0.5,-0.5,0,1
Isaiah Likely,BAL,TE,12,8,9,0,0.0,0.0,0,0
Robert Tonyan,GB,TE,12,10,7,0,0.5,-0.5,0,0
Dawson Knox,BUF,TE,11,10,7,0,0.2,-0.2,0,0
Kylen Granson,IND,TE,11,9,9,0,0.0,0.0,0,0
Noah Gray,KC,TE,11,5,5,0,0.7,-0.7,0,1
Noah Fant,SEA,TE,11,8,7,0,0.2,-0.2,0,0
Mike Gesicki,MIA,TE,10,15,5,1,0.5,0.5,0,1
Jonnu Smith,NE,TE,10,6,7,0,0.1,-0.1,0,0
Mo Alie-Cox,IND,TE,10,7,5,0,0.5,-0.5,0,1
Eric Saubert,DEN,TE,9,9,3,1,0.8,0.2,0,2
Jody Fortson,KC,TE,9,7,2,1,1.0,0.0,0,2
Johnny Mundt,MIN,TE,9,10,6,0,0.0,0.0,0,0
Ian Thomas,CAR,TE,8,10,6,0,0.1,-0.1,0,0
Brevin Jordan,HOU,TE,8,4,6,0,0.0,0.0,0,0
Pharaoh Brown,HOU,TE,8,8,6,0,0.0,0.0,0,0
O.J. Howard,HOU,TE,8,20,3,2,0.5,1.5,0,0
Cameron Brate,TB,TE,8,4,5,0,0.1,-0.1,0,0
Tyler Kroft,SF,TE,8,2,4,0,0.1,-0.1,0,0
Will Dissly,SEA,TE,7,15,5,1,0.0,1.0,0,0
Tre' McKitty,LAC,TE,7,5,5,0,0.2,-0.2,0,0
Geoff Swaim,TEN,TE,7,5,4,0,0.2,-0.2,0,0
Durham Smythe,MIA,TE,7,4,4,0,0.2,-0.2,0,0
Hunter Henry,NE,TE,7,4,4,0,0.1,-0.1,0,0
Taysom Hill,NO,TE,6,17,8,1,0.2,0.8,0,0
Parker Hesse,ATL,TE,6,3,3,0,0.2,-0.2,0,0
Tommy Tremble,CAR,TE,6,1,1,0,0.7,-0.7,0,0
Colby Parkinson,SEA,TE,5,12,2,1,0.2,0.8,0,0
Tanner Hudson,NYG,TE,5,4,3,0,0.0,0.0,0,0
Foster Moreau,LV,TE,5,6,4,0,0.0,0.0,0,0
Ross Dwelley,SF,TE,5,13,3,1,0.0,1.0,0,0
Richard Rodgers,LAC,TE,4,0,1,0,0.5,-0.5,0,1
Eric Tomlinson,DEN,TE,4,0,1,0,0.5,-0.5,0,1
Anthony Firkser,ATL,TE,4,2,2,0,0.2,-0.2,0,0
Drew Sample,CIN,TE,3,2,2,0,0.1,-0.1,0,0
Dan Arnold,JAC,TE,2,2,1,0,0.1,-0.1,0,0
Brock Wright,DET,TE,2,4,1,0,0.0,0.0,0,0
Ben Ellefson,MIN,TE,2,1,1,0,0.1,-0.1,0,0
Daniel Bellinger,NYG,TE,1,9,1,1,0.0,1.0,0,0
