League,Logo,Season,Award,Image,Winner,Pos,TRUFFLE
TRUFFLE,www/graphics/awardlogos/Exec.png,2020,Executive of the Year,www/graphics/execs/mike.png,Mike Baker,GM,CC
TRUFFLE,www/graphics/awardlogos/MVP.png,2020,Most Valuable Player,www/graphics/players/dcook.png,Dalvin Cook,RB,MWM
TRUFFLE,www/graphics/awardlogos/ROY.png,2020,Rookie of the Year,www/graphics/players/jjefferson.png,Justin Jefferson,WR,NN
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2020,Playoff MVP,www/graphics/players/akamara.png,Alvin Kamara,RB,CC
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2020,Bench Cup MVP,www/graphics/players/jhurts.png,Jalen Hurts,QB,MCM
TRUFFLE,www/graphics/awardlogos/LVP.png,2020,Least Valuable Player,www/graphics/players/lbell.png,Le'Veon Bell ($48),RB,ELP
TRUFFLE,www/graphics/awardlogos/Waiver.png,2020,Waiver Wire Pickup,www/graphics/players/jrobinson.png,James Robinson ($4),RB,MWM
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2020,Best Free Agent Auction Signing,www/graphics/players/dwaller.png,Darren Waller ($24),TE,CC
TRUFFLE,,2020,1stTm,,Josh Allen,QB,CC
TRUFFLE,,2020,1stTm,,Derrick Henry *,RB,VD
TRUFFLE,,2020,1stTm,,Dalvin Cook,RB,MWM
TRUFFLE,,2020,1stTm,,Davante Adams,WR,VD
TRUFFLE,,2020,1stTm,,Tyreek Hill,WR,ELP
TRUFFLE,,2020,1stTm,,Stefon Diggs,WR,NN
TRUFFLE,,2020,1stTm,,Travis Kelce,TE,CRB
TRUFFLE,,2020,1stTm,,DK Metcalf,FL,FRR
TRUFFLE,,2020,1stTm,,Kyler Murray,SF,NN
TRUFFLE,,2020,2ndTm,,Patrick Mahomes,QB,FRR
TRUFFLE,,2020,2ndTm,,Alvin Kamara,RB,CC
TRUFFLE,,2020,2ndTm,,James Robinson,RB,FRR
TRUFFLE,,2020,2ndTm,,DeAndre Hopkins,WR,CC
TRUFFLE,,2020,2ndTm,,Justin Jefferson,WR,NN
TRUFFLE,,2020,2ndTm,,Calvin Ridley,WR,NN
TRUFFLE,,2020,2ndTm,,Darren Waller,TE,CC
TRUFFLE,,2020,2ndTm,,Jonathan Taylor,FL,CC
TRUFFLE,,2020,2ndTm,,Aaron Rodgers,SF,ELP
TRUFFLE,www/graphics/awardlogos/RFS.png,2019,TRUFFLE Champion,www/graphics/teamlogos/FRR.png,Frankfurt Roadrunners,13-0,FRR
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2019,Bench Cup Champion,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Award.png,2019,Consolation Winner,www/graphics/teamlogos/igloosold.png,Alexandria Igloos,11-Feb,AFL
TRUFFLE,www/graphics/awardlogos/Exec.png,2019,Executive of the Year,www/graphics/execs/alec.png,Alec Driesenga,GM,AAH
TRUFFLE,www/graphics/awardlogos/MVP.png,2019,Most Valuable Player,www/graphics/players/cmccaffreyold.png,Christian McCaffrey,RB,FRR
TRUFFLE,www/graphics/awardlogos/ROY.png,2019,Rookie of the Year,www/graphics/players/jjacobsold.png,Josh Jacobs,RB,AAH
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2019,Playoff MVP,www/graphics/players/cmccaffreyold.png,Christian McCaffrey,RB,FRR
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2019,Bench Cup MVP,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/LVP.png,2019,Least Valuable Player,www/graphics/players/abrownold.png,Antonio Brown,WR,MCM
TRUFFLE,www/graphics/awardlogos/Waiver.png,2019,Waiver Wire Pickup,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2019,Best Free Agent Auction Signing,www/graphics/players/NA.png,-,-,-
TRUFFLE,,2019,1stTm,,Lamar Jackson,QB,SBP
TRUFFLE,,2019,1stTm,,Christian McCaffrey,RB,FRR
TRUFFLE,,2019,1stTm,,Derrick Henry,RB,VT
TRUFFLE,,2019,1stTm,,Michael Thomas,WR,VT
TRUFFLE,,2019,1stTm,,Chris Godwin,WR,AAH
TRUFFLE,,2019,1stTm,,Julio Jones,WR,FRR
TRUFFLE,,2019,1stTm,,Travis Kelce,TE,CRB
TRUFFLE,,2019,1stTm,,Ezekiel Eliott,FL,CRB
TRUFFLE,,2019,1stTm,,Dak Prescott,SF,MCM
TRUFFLE,,2019,2ndTm,,Deshaun Watson,QB,SBP
TRUFFLE,,2019,2ndTm,,Aaron Jones,RB,MWM
TRUFFLE,,2019,2ndTm,,Dalvin Cook,RB,FRR
TRUFFLE,,2019,2ndTm,,DeAndre Hopkins,WR,MCM
TRUFFLE,,2019,2ndTm,,Kenny Golladay,WR,CRB
TRUFFLE,,2019,2ndTm,,Cooper Kupp,WR,MCM
TRUFFLE,,2019,2ndTm,,George Kittle,TE,AFL
TRUFFLE,,2019,2ndTm,,Nick Chubb,FL,AAH
TRUFFLE,,2019,2ndTm,,Russell Wilson,SF,VT
TRUFFLE,www/graphics/awardlogos/RFS.png,2018,TRUFFLE Champion,www/graphics/teamlogos/roadrunners1.png,Frankfurt Roadrunners,4-Sep,FRR
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2018,Bench Cup Champion,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Award.png,2018,Consolation Winner,www/graphics/teamlogos/papis.png,South Beach Papis,10-Mar,SBP
TRUFFLE,www/graphics/awardlogos/Exec.png,2018,Executive of the Year,www/graphics/execs/max.png,Max Smith,GM,FRR
TRUFFLE,www/graphics/awardlogos/MVP.png,2018,Most Valuable Player,www/graphics/players/pmahomesold.png,Patrick Mahomes,QB,FRR
TRUFFLE,www/graphics/awardlogos/ROY.png,2018,Rookie of the Year,www/graphics/players/sbarkleyold.png,Saquon Barkley,RB,SBP
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2018,Playoff MVP,www/graphics/players/cmccaffreyold.png,Christian McCaffrey,RB,FRR
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2018,Bench Cup MVP,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/LVP.png,2018,Least Valuable Player,www/graphics/players/lbellold.png,Le'Veon Bell,RB,VD
TRUFFLE,www/graphics/awardlogos/Waiver.png,2018,Waiver Wire Pickup,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2018,Best Free Agent Auction Signing,www/graphics/players/NA.png,-,-,-
TRUFFLE,,2018,1stTm,,Patrick Mahomes,QB,FRR
TRUFFLE,,2018,1stTm,,Todd Gurley,RB,AFL
TRUFFLE,,2018,1stTm,,Saquon Barkley,RB,SBP
TRUFFLE,,2018,1stTm,,Tyreek Hill,WR,VT
TRUFFLE,,2018,1stTm,,DeAndre Hopkins,WR,MCM
TRUFFLE,,2018,1stTm,,Julio Jones,WR,FRR
TRUFFLE,,2018,1stTm,,Travis Kelce,TE,CRB
TRUFFLE,,2018,1stTm,,Christian McCaffrey,FL,FRR
TRUFFLE,,2018,1stTm,,Matt Ryan,SF,VD
TRUFFLE,,2018,2ndTm,,Deshaun Watson,QB,SBP
TRUFFLE,,2018,2ndTm,,Alvin Kamara,RB,VT
TRUFFLE,,2018,2ndTm,,Ezekiel Elliott,RB,CRB
TRUFFLE,,2018,2ndTm,,Antonio Brown,WR,MCM
TRUFFLE,,2018,2ndTm,,Davante Adams,WR,MCM
TRUFFLE,,2018,2ndTm,,Mike Evans,WR,FRR
TRUFFLE,,2018,2ndTm,,Zach Ertz,TE,FRR
TRUFFLE,,2018,2ndTm,,Adam Thielen,FL,MWM
TRUFFLE,,2018,2ndTm,,Ben Roethlisberger,SF,CRB
TRUFFLE,www/graphics/awardlogos/RFS.png,2017,TRUFFLE Champion,www/graphics/teamlogos/blossoms2.png,Laurel Crest Blossoms,4-Sep,CRB
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2017,Bench Cup Champion,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Award.png,2017,Consolation Winner,www/graphics/teamlogos/dragonsold.png,Alexandria Dragons,7-Jun,VD
TRUFFLE,www/graphics/awardlogos/Exec.png,2017,Executive of the Year,www/graphics/execs/gpa.png,Dick Smith,GM,CRB
TRUFFLE,www/graphics/awardlogos/MVP.png,2017,Most Valuable Player,www/graphics/players/tgurleyold.png,Todd Gurley,RB,AFL
TRUFFLE,www/graphics/awardlogos/ROY.png,2017,Rookie of the Year,www/graphics/players/khuntold.png,Kareem Hunt,RB,CRB
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2017,Playoff MVP,www/graphics/players/bbortlesold.png,Blake Bortles,QB,CRB
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2017,Bench Cup MVP,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/LVP.png,2017,Least Valuable Player,www/graphics/players/mevansold.png,Mike Evans,WR,FRR
TRUFFLE,www/graphics/awardlogos/Waiver.png,2017,Waiver Wire Pickup,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2017,Best Free Agent Auction Signing,www/graphics/players/NA.png,-,-,-
TRUFFLE,,2017,1stTm,,Russell Wilson,QB,VT
TRUFFLE,,2017,1stTm,,Todd Gurley,RB,AFL
TRUFFLE,,2017,1stTm,,Le'Veon Bell,RB,VD
TRUFFLE,,2017,1stTm,,DeAndre Hopkins,WR,MCM
TRUFFLE,,2017,1stTm,,Antonio Brown,WR,MCM
TRUFFLE,,2017,1stTm,,Keenan Allen,WR,AFL
TRUFFLE,,2017,1stTm,,Rob Gronkowski,TE,FRR
TRUFFLE,,2017,1stTm,,Kareem Hunt,FL,CRB
TRUFFLE,,2017,1stTm,,Cam Newton,SF,MCM
TRUFFLE,,2017,2ndTm,,Tom Brady,QB,FRR
TRUFFLE,,2017,2ndTm,,Alvin Kamara,RB,VT
TRUFFLE,,2017,2ndTm,,Melvin Gordon,RB,AFL
TRUFFLE,,2017,2ndTm,,Julio Jones,WR,FRR
TRUFFLE,,2017,2ndTm,,Michael Thomas,WR,VT
TRUFFLE,,2017,2ndTm,,Larry Fitzgerald,WR,VD
TRUFFLE,,2017,2ndTm,,Travis Kelce,TE,CRB
TRUFFLE,,2017,2ndTm,,Ezekiel Elliott,FL,CRB
TRUFFLE,,2017,2ndTm,,Carson Wentz,SF,MM
TRUFFLE,www/graphics/awardlogos/RFS.png,2016,TRUFFLE Champion,www/graphics/teamlogos/blossoms1.png,Laurel Crest Blossoms,3-Oct,CRB
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2016,Bench Cup Champion,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Award.png,2016,Consolation Winner,www/graphics/teamlogos/dragonsold.png,Alexandria Dragons,7-Jun,VD
TRUFFLE,www/graphics/awardlogos/Exec.png,2016,Executive of the Year,www/graphics/execs/gpa.png,Dick Smith,GM,CRB
TRUFFLE,www/graphics/awardlogos/MVP.png,2016,Most Valuable Player,www/graphics/players/eelliottold.png,Ezekiel Elliott,RB,CRB
TRUFFLE,www/graphics/awardlogos/ROY.png,2016,Rookie of the Year,www/graphics/players/eelliottold.png,Ezekiel Elliott,RB,CRB
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2016,Playoff MVP,www/graphics/players/eelliottold.png,Ezekiel Elliott,RB,CRB
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2016,Bench Cup MVP,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/LVP.png,2016,Least Valuable Player,www/graphics/players/dhopkinsold.png,DeAndre Hopkins,WR,MCM
TRUFFLE,www/graphics/awardlogos/Waiver.png,2016,Waiver Wire Pickup,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2016,Best Free Agent Auction Signing,www/graphics/players/NA.png,-,-,-
TRUFFLE,,2016,1stTm,,Aaron Rodgers,QB,AFL
TRUFFLE,,2016,1stTm,,David Johnson,RB,VT
TRUFFLE,,2016,1stTm,,Ezekiel Elliott,RB,CRB
TRUFFLE,,2016,1stTm,,Mike Evans,WR,FRR
TRUFFLE,,2016,1stTm,,Antonio Brown,WR,MCM
TRUFFLE,,2016,1stTm,,Odell Beckham,WR,VD
TRUFFLE,,2016,1stTm,,Travis Kelce,TE,CRB
TRUFFLE,,2016,1stTm,,Le'Veon Bell,FL,VD
TRUFFLE,,2016,1stTm,,Matt Ryan,SF,MCM
TRUFFLE,,2016,2ndTm,,Drew Brees,QB,FRR
TRUFFLE,,2016,2ndTm,,LeSean McCoy,RB,CRB
TRUFFLE,,2016,2ndTm,,Devonta Freeman,RB,VD
TRUFFLE,,2016,2ndTm,,TY Hilton,WR,CRB
TRUFFLE,,2016,2ndTm,,Julio Jones,WR,FRR
TRUFFLE,,2016,2ndTm,,Michael Thomas,WR,VT
TRUFFLE,,2016,2ndTm,,Greg Olsen,TE,GRR
TRUFFLE,,2016,2ndTm,,Melvin Gordon,FL,AFL
TRUFFLE,,2016,2ndTm,,Andrew Luck,SF,MWM
TRUFFLE,www/graphics/awardlogos/RFS.png,2015,TRUFFLE Champion,www/graphics/teamlogos/dragonsold.png,Alexandria Dragons,2-Nov,VD
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2015,Bench Cup Champion,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Award.png,2015,Consolation Winner,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/Exec.png,2015,Executive of the Year,www/graphics/execs/louie.png,Louie Rogers,GM,VD
TRUFFLE,www/graphics/awardlogos/MVP.png,2015,Most Valuable Player,www/graphics/players/cnewtonold.png,Cam Newton,QB,MCM
TRUFFLE,www/graphics/awardlogos/ROY.png,2015,Rookie of the Year,www/graphics/players/tgurleyold.png,Todd Gurley,RB,AFL
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2015,Playoff MVP,www/graphics/players/thightowerold.png,Tim Hightower,RB,VD
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2015,Bench Cup MVP,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/LVP.png,2015,Least Valuable Player,www/graphics/players/mgordonold.png,Melvin Gordon,RB,AFL
TRUFFLE,www/graphics/awardlogos/Waiver.png,2015,Waiver Wire Pickup,www/graphics/players/NA.png,-,-,-
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2015,Best Free Agent Auction Signing,www/graphics/players/NA.png,-,-,-
TRUFFLE,,2015,1stTm,,Cam Newton,QB,MCM
TRUFFLE,,2015,1stTm,,Devonta Freeman,RB,VD
TRUFFLE,,2015,1stTm,,Adrian Peterson,RB,GRR
TRUFFLE,,2015,1stTm,,Julio Jones,WR,FRR
TRUFFLE,,2015,1stTm,,Antonio Brown,WR,MCM
TRUFFLE,,2015,1stTm,,DeAndre Hopkins,WR,MCM
TRUFFLE,,2015,1stTm,,Rob Gronkowski,TE,FRR
TRUFFLE,,2015,1stTm,,Odell Beckham,FL,VD
TRUFFLE,,2015,1stTm,,Russell Wilson,SF,VT
TRUFFLE,,2015,2ndTm,,Tom Brady,QB,FRR
TRUFFLE,,2015,2ndTm,,Doug Martin,RB,MWM
TRUFFLE,,2015,2ndTm,,Todd Gurley,RB,AFL
TRUFFLE,,2015,2ndTm,,Allen Robinson,WR,AFL
TRUFFLE,,2015,2ndTm,,AJ Green,WR,FRR
TRUFFLE,,2015,2ndTm,,Larry Fitzgerald,WR,AFL
TRUFFLE,,2015,2ndTm,,Jordan Reed,TE,VD
TRUFFLE,,2015,2ndTm,,Demaryius Thomas,FL,MWM
TRUFFLE,,2015,2ndTm,,Blake Bortles,SF,CRB
KERFUFFLE,www/graphics/awardlogos/RFS.png,2024,KERFUFFLE Champion,www/graphics/teamlogos/WLW.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/BenchCup.png,2024,Bench Cup Champion,www/graphics/teamlogos/ELP.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/Award.png,2024,Consolation Winner,www/graphics/teamlogos/MAM.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/Exec.png,2024,Executive of the Year,www/graphics/execs/tyler.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/MVP.png,2024,Most Valuable Player,www/graphics/players/cmccaffrey.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/ROY.png,2024,Rookie of the Year,www/graphics/players/pnacua.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2024,Playoff MVP,www/graphics/players/ljackson.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2024,Bench Cup MVP,www/graphics/players/jreed.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/LVP.png,2024,Least Valuable Player,www/graphics/players/arodgers.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/Waiver.png,2024,Waiver Wire Pickup,www/graphics/players/kwilliams.png,TBD,TBD,TBD
KERFUFFLE,www/graphics/awardlogos/FreeAgent.png,2024,Best Free Agent Auction Signing,www/graphics/players/pnacua.png,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,1stTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
KERFUFFLE,,2024,2ndTm,,TBD,TBD,TBD
